metric,projector,instance,family,subset,precision,recall,f1
test_incremental_location-geography/macro_types,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,1.0,0.644444465637207,0.7837837934494019
test/micro,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.8318533897399902,0.8542879223823547,0.8429214358329773
test_incremental/micro,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.4280821979045868,0.6944444179534912,0.5296609997749329
test_pretraining/micro,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.8318533897399902,0.8542879223823547,0.8429214358329773
test/macro_types,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.8314823508262634,0.8101894855499268,0.8206977844238281
test_incremental_location-geography-mountain/macro_types,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.3478260934352875,0.800000011920929,0.4848485291004181
test_pretraining/macro_example,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.8469030857086182,0.8627533912658691,0.8547547459602356
test/macro_example,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.8469030857086182,0.8627533912658691,0.8547547459602356
test_incremental_only/micro,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.28632479906082153,0.7444444298744202,0.4135802686214447
test_incremental/macro_example,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.032642655074596405,0.030833743512630463,0.031712424010038376
test_pretraining/macro_types,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.8314823508262634,0.8101894855499268,0.8206977844238281
test_incremental/macro_types,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.4920683205127716,0.7194444537162781,0.5844194293022156
test_incremental_only/macro_types,kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.322757750749588,0.7444444894790649,0.4502899944782257
test_incremental_only/macro_example_exclusive,box_adapter_bert_ms,2,location/geography,10,0.21851852536201477,0.6555556058883667,0.32777780294418335
test_incremental/macro_example_exclusive,box_adapter_bert_ms,2,location/geography,10,0.2925925850868225,0.550000011920929,0.38197800517082214
test_incremental_location-geography-island/macro_types,box_adapter_bert_ms,2,location/geography,10,0.1894736886024475,0.6000000238418579,0.2879999876022339
test_incremental_only/macro_example,box_adapter_bert_ms,2,location/geography,10,0.009702350944280624,0.029107052832841873,0.014553526416420937
test_incremental_location-geography-body_of_water/macro_types,box_adapter_bert_ms,2,location/geography,10,0.24210526049137115,0.7666666507720947,0.36800000071525574
test_incremental_location-geography/macro_types,box_adapter_bert_ms,2,location/geography,10,1.0,0.4444444477558136,0.6153846383094788
test/micro,box_adapter_bert_ms,2,location/geography,10,0.8118653893470764,0.7912301421165466,0.801414966583252
test_incremental/micro,box_adapter_bert_ms,2,location/geography,10,0.3046153783798218,0.550000011920929,0.3920792043209076
test_pretraining/micro,box_adapter_bert_ms,2,location/geography,10,0.8118653893470764,0.7912301421165466,0.801414966583252
test/macro_types,box_adapter_bert_ms,2,location/geography,10,0.7180383205413818,0.6670322418212891,0.6915960907936096
test_incremental_location-geography-mountain/macro_types,box_adapter_bert_ms,2,location/geography,10,0.1894736886024475,0.6000000238418579,0.2879999876022339
test_pretraining/macro_example,box_adapter_bert_ms,2,location/geography,10,0.8355745077133179,0.8046391606330872,0.8198150992393494
test/macro_example,box_adapter_bert_ms,2,location/geography,10,0.8355745077133179,0.8046391606330872,0.8198150992393494
test_incremental_only/micro,box_adapter_bert_ms,2,location/geography,10,0.2070175409317017,0.6555555462837219,0.31466665863990784
test_incremental/macro_example,box_adapter_bert_ms,2,location/geography,10,0.012991284020245075,0.02442032471299171,0.01696004904806614
test_pretraining/macro_types,box_adapter_bert_ms,2,location/geography,10,0.7180383205413818,0.6670322418212891,0.6915960907936096
test_incremental/macro_types,box_adapter_bert_ms,2,location/geography,10,0.40526315569877625,0.6027777791023254,0.48467007279396057
test_incremental_only/macro_types,box_adapter_bert_ms,2,location/geography,10,0.20701755583286283,0.6555556058883667,0.3146666884422302
test_incremental_only/macro_example_exclusive,box_adapter_bert_ms,1,location/geography,10,0.16851851344108582,0.5,0.25207754969596863
test_incremental/macro_example_exclusive,box_adapter_bert_ms,1,location/geography,10,0.279629647731781,0.4722222685813904,0.35125890374183655
test_incremental_location-geography-island/macro_types,box_adapter_bert_ms,1,location/geography,10,0.2340425550937653,0.36666667461395264,0.285714328289032
test_incremental_only/macro_example,box_adapter_bert_ms,1,location/geography,10,0.0074823214672505856,0.022200295701622963,0.01119239255785942
test_incremental_location-geography-body_of_water/macro_types,box_adapter_bert_ms,1,location/geography,10,0.3265306055545807,0.5333333611488342,0.405063271522522
test_incremental_location-geography/macro_types,box_adapter_bert_ms,1,location/geography,10,1.0,0.4444444477558136,0.6153846383094788
test/micro,box_adapter_bert_ms,1,location/geography,10,0.8327868580818176,0.7885137796401978,0.8100457787513733
test_incremental/micro,box_adapter_bert_ms,1,location/geography,10,0.4670329689979553,0.4722222089767456,0.469613254070282
test_pretraining/micro,box_adapter_bert_ms,1,location/geography,10,0.8327868580818176,0.7885137796401978,0.8100457787513733
