metric,projector,family,subset,precision/mean,recall/mean,f1/mean,precision/std,recall/std,f1/std
test_incremental/micro,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.6327505707740784,0.9277777671813965,0.7518883546193441,0.008483332842422886,0.05357582046109755,0.017234258560993466
test_pretraining/macro_types,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.8019025127092997,0.8846531907717387,0.841239849726359,0.0009533795712148089,0.006303045518111054,0.0027615289989560516
test/macro_types,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.8019025127092997,0.8846531907717387,0.841239849726359,0.0009533795712148089,0.006303045518111054,0.0027615289989560516
test_incremental_CONTACT_INFO/macro_types,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.6363636255264282,0.9333333373069764,0.7567567229270935,0.0,0.0,0.0
test_incremental_only/micro,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.6294227639834086,0.9222222169240316,0.7462364633878072,0.016207705132606734,0.10715166255469387,0.035626159776639216
test/micro,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.7839204470316569,0.8705174525578817,0.8249507745107015,0.0009061787402357092,0.0023209785338559144,0.0007411929640500464
test_pretraining/micro,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.7839204470316569,0.8705174525578817,0.8249507745107015,0.0009061787402357092,0.0023209785338559144,0.0007411929640500464
test_incremental/macro_types,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.6328932046890259,0.9277777870496114,0.75199822584788,0.00810383677319687,0.05357584209359963,0.017377633290648616
test_incremental/macro_example,no_init_kenn_bottom_up_adapter_bert_ms,CONTACT_INFO,10,0.02764687252541383,0.026233113060394924,0.026919653018315632,0.0010883131410411077,0.0015148684083008462,0.0013107604545840286
test/macro_example,no_init_kenn_horizontal_adapter_bert_ms,CONTACT_INFO,10,0.8115247885386149,0.8601424296696981,0.8351161877314249,0.006084549356408891,0.0014595576213153848,0.002846975117061493
