metric,projector,instance,family,subset,precision,recall,f1,epoch
test_incremental_only/macro_example,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.016773557290434837,0.016773557290434837,0.016773557290434837,56
test_incremental_only/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,1.0,0.3777777850627899,0.5483871102333069,56
test_incremental_only/macro_example_exclusive,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.3777778148651123,0.3777778148651123,0.3777778148651123,56
test/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.7656172513961792,0.6503655910491943,0.7033010721206665,56
test_incremental/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,1.0,0.41111111640930176,0.5826771855354309,56
test_incremental_location-geography-mountain/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,1.0,0.30000001192092896,0.46153849363327026,56
test/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.84932941198349,0.7863795161247253,0.8166431784629822,56
test_pretraining/micro,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.84932941198349,0.7863795161247253,0.8166431784629822,56
test_incremental/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,1.0,0.39444443583488464,0.5657370090484619,56
test_incremental_location-geography-body_of_water/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,1.0,0.7333333492279053,0.8461538553237915,56
test_incremental/macro_example,no_init_box_kenn_bottom_up_adapter_bert_ms,1,location/geography,10,0.02417365461587906,0.018253576010465625,0.02080058678984642,56
test/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.8579227924346924,0.8005690574645996,0.8282542824745178,53
test_incremental/macro_example_exclusive,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.4888889193534851,0.41111114621162415,0.4466392397880554,53
test_pretraining/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.8579227924346924,0.8005690574645996,0.8282542824745178,53
test_incremental_location-geography-island/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.8333333134651184,0.1666666716337204,0.2777777910232544,53
test_incremental_location-geography/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,1.0,0.4444444477558136,0.6153846383094788,53
test_incremental_only/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.8777778148651123,0.3777778148651123,0.5282202959060669,53
test_pretraining/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.7582839727401733,0.6503655910491943,0.7001909017562866,53
test_incremental_only/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.016773555427789688,0.016773555427789688,0.016773555427789688,53
test_incremental_only/micro,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.9189189076423644,0.3777777850627899,0.5354330539703369,53
test_incremental_only/macro_example_exclusive,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.3777778148651123,0.3777778148651123,0.3777778148651123,53
test/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.7582839727401733,0.6503655910491943,0.7001909017562866,53
test_incremental/micro,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.9610389471054076,0.41111111640930176,0.5758755207061768,53
test_incremental_location-geography-mountain/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.800000011920929,0.2666666805744171,0.4000000059604645,53
test/micro,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.8487958312034607,0.7863795161247253,0.8163964152336121,53
test_pretraining/micro,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.8487958312034607,0.7863795161247253,0.8163964152336121,53
test_incremental/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.9083333015441896,0.39444446563720703,0.5500355362892151,53
test_incremental_location-geography-body_of_water/macro_types,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,1.0,0.699999988079071,0.8235293626785278,53
test_incremental/macro_example,no_init_box_kenn_hybrid_adapter_bert_ms,0,location/geography,10,0.02170695550739765,0.018253576010465625,0.019831044599413872,53
test/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.8568127751350403,0.8015968799591064,0.8282856345176697,54
test_incremental/macro_example_exclusive,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.5611111521720886,0.45000001788139343,0.4994505941867829,54
test_pretraining/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.8568127751350403,0.8015968799591064,0.8282856345176697,54
test_incremental_location-geography-island/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.692307710647583,0.30000001192092896,0.41860467195510864,54
test_incremental_location-geography/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,1.0,0.4444444477558136,0.6153846383094788,54
test_incremental_only/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.8044872283935547,0.4555555582046509,0.5817082524299622,54
test_pretraining/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.7538865208625793,0.655032217502594,0.7009913921356201,54
test_incremental_only/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.02022693492472172,0.02022693492472172,0.02022693492472172,54
test_incremental_only/micro,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.8199999928474426,0.4555555582046509,0.5857142210006714,54
test_incremental_only/macro_example_exclusive,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.45555558800697327,0.45555558800697327,0.45555561780929565,54
test/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.7538865208625793,0.655032217502594,0.7009913921356201,54
test_incremental/micro,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.8999999761581421,0.44999998807907104,0.6000000238418579,54
test_incremental_location-geography-mountain/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.8461538553237915,0.36666667461395264,0.5116279125213623,54
test/micro,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.847953200340271,0.7877376675605774,0.8167370557785034,54
test_pretraining/micro,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.847953200340271,0.7877376675605774,0.8167370557785034,54
test_incremental/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.853365421295166,0.45277777314186096,0.5916424989700317,54
test_incremental_location-geography-body_of_water/macro_types,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.875,0.699999988079071,0.7777777910232544,54
test_incremental/macro_example,no_init_box_kenn_top_down_adapter_bert_ms,0,location/geography,10,0.024913664907217022,0.01998026669025421,0.022175900638103485,54
test/macro_example,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.8579227924346924,0.8005690574645996,0.8282542824745178,53
test_incremental/macro_example_exclusive,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.4888889193534851,0.41111114621162415,0.4466392397880554,53
test_pretraining/macro_example,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.8579227924346924,0.8005690574645996,0.8282542824745178,53
test_incremental_location-geography-island/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.8333333134651184,0.1666666716337204,0.2777777910232544,53
test_incremental_location-geography/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,1.0,0.4444444477558136,0.6153846383094788,53
test_incremental_only/macro_types,no_init_box_kenn_bottom_up_adapter_bert_ms,0,location/geography,10,0.8777778148651123,0.3777777850627899,0.5282202363014221,53
